restaurant_id,name,price,ingredients,visibility,description
8,Chicken Burger con Salsa BBQ,10,"petto di pollo, pane per hamburger, salsa BBQ, lattuga, pomodoro, cipolla, maionese, sale, pepe.",1,"Burger di pollo con salsa BBQ, servito con pane morbido e verdure."
9,Pizza Margherita,8,"impasto per pizza, salsa di pomodoro, mozzarella, basilico fresco, olio d'oliva, sale, pepe.",1,"Pizza con pomodoro, mozzarella e basilico fresco."
9,Pizza Quattro Stagioni,10,"impasto per pizza, salsa di pomodoro, mozzarella, prosciutto cotto, funghi, carciofi, olive nere, olio d'oliva, sale, pepe.",1,"Pizza con pomodoro, mozzarella, prosciutto cotto, funghi, carciofi e olive."
9,Pizza Capricciosa,9,"impasto per pizza, salsa di pomodoro, mozzarella, prosciutto cotto, funghi, carciofi, olive nere, olio d'oliva, sale, pepe.",1,"Pizza con pomodoro, mozzarella, prosciutto cotto, funghi, olive e uova."
9,Pizza Vegetariana,9,"impasto per pizza, salsa di pomodoro, mozzarella, peperoni, zucchine, melanzane, cipolla, olive nere, olio d'oliva, sale, pepe.",1,"Pizza con pomodoro, mozzarella, verdure miste come peperoni, zucchine e melanzane."
9,Pizza Diavola,9,"impasto per pizza, salsa di pomodoro, mozzarella, salame piccante, olio d'oliva, pepe nero.",1,"Pizza con pomodoro, mozzarella e salame piccante."
10,Focaccia con Rosmarino e Sale,5,"farina, lievito, acqua, olio d'oliva, rosmarino, sale grosso.",1,"Pane morbido condito con olio d'oliva, sale e rosmarino."
10,Focaccia Ripiena di Prosciutto e Formaggio,7,"farina, lievito, acqua, olio d'oliva, prosciutto cotto, mozzarella, pepe, sale.",1,"Focaccia ripiena di prosciutto cotto e formaggio, cotta fino a doratura."
10,Focaccia con Pomodoro e Basilico,6,"farina, lievito, acqua, olio d'oliva, pomodori, basilico fresco, sale, pepe.",1,"Focaccia con pomodoro fresco, mozzarella e basilico."
10,Focaccia con Olive e Cipolle,7,"farina, lievito, acqua, olio d'oliva, olive nere, cipolla rossa, sale, pepe.",1,"Focaccia con olive nere e cipolle rosse, cotta fino a diventare croccante."
10,Focaccia con Formaggio di Capra e Miele,8,"farina, lievito, acqua, olio d'oliva, formaggio di capra, miele, rosmarino, sale, pepe",1,"Focaccia con formaggio di capra e miele, dal sapore dolce e salato."
11,BBQ Ribs,15,"costine di maiale, salsa BBQ, aglio, pepe nero, zucchero di canna, paprika, sale.",1,Costine di maiale cotte alla griglia con una salsa BBQ ricca e affumicata.
11,Cheeseburger con Bacon,12,"carne di manzo, bacon, formaggio cheddar, pane per hamburger, lattuga, pomodoro, cipolla, ketchup, senape, sale, pepe.",1,"Hamburger con formaggio e bacon croccante, servito con pane morbido e contorni."
11,Mac & Cheese,10,"pasta, formaggio cheddar, burro, latte, farina, sale, pepe, pangrattato.",1,Pasta con una salsa cremosa di formaggio cheddar.
11,Hot Dog con Salsa Piccante,6,"salsicce, pane per hot dog, salsa piccante, ketchup, senape, cipolla, peperoncino.",1,Hot dog servito con una salsa piccante e condimenti.
11,Patatine Fritte alla Paprika,4,"patate, olio per friggere, paprika, sale.",1,Patatine fritte spolverate con paprika per un sapore affumicato e speziato.
12,Pad Thai con Gamberetti,12,"noodles di riso, gamberetti, uovo, germogli di soia, cipollotto, salsa di pesce, zucchero, arachidi tritate, lime, peperoncino.",1,"Piatti di noodles saltati con gamberetti, tofu, verdure e salsa di pesce."
12,Tom Yum Soup,9,"brodo di pollo, gamberetti, limongrass, galanga, foglie di lime kaffir, funghi, peperoncini, salsa di pesce, succo di lime.",1,"Zuppa piccante e aromatica a base di brodo di gamberi, peperoncini, citronella e lime."
12,Curry Verde con Pollo,14,"pollo, latte di cocco, pasta di curry verde, zucchine, melanzane, peperoni, foglie di basilico, salsa di pesce, zucchero di palma.",1,"Curry verde con pollo, latte di cocco e spezie tailandesi, servito con riso."
12,Som Tum (Insalata di Papaya),7,"papaya verde, fagiolini, pomodoro, peperoncini, aglio, salsa di pesce, lime, zucchero di palma, arachidi.",1,"Insalata di papaya verde, con peperoncino, lime, arachidi e salsa di pesce."
12,Gai Pad Krapow (Pollo con Basilico),10,"petto di pollo, basilico fresco, aglio, peperoncini, salsa di pesce, zucchero di palma, olio di sesamo, cipollotto, riso basmati.",1,Pollo cucinato con basilico e peperoncino in un soffritto speziato.
13,Pinsa Margherita,8,"impasto per pinsa, salsa di pomodoro, mozzarella, basilico fresco, olio d'oliva, sale, pepe.",1,"Pizza con pomodoro, mozzarella e ingredienti freschi come basilico e olive."
13,Pinsa Prosciutto e Funghi,10,"impasto per pinsa, salsa di pomodoro, mozzarella, prosciutto cotto, funghi freschi, olio d'oliva, sale, pepe.",1,"Pizza con prosciutto cotto, funghi freschi e mozzarella."
13,Pinsa Quattro Formaggi,9,"impasto per pinsa, mozzarella, gorgonzola, fontina, parmigiano, olio d'oliva, sale, pepe.",1,"Pizza con quattro formaggi: mozzarella, gorgonzola, emmental e parmigiano."
13,Pinsa Vegetariana,9,"impasto per pinsa, salsa di pomodoro, mozzarella, peperoni, melanzane, zucchine, cipolla, olio d'oliva, sale, pepe.",1,"Pizza con verdure miste, come zucchine, melanzane, peperoni e pomodoro."
13,Pinsa con Salmone Affumicato e Avocado,12,"impasto per pinsa, crema di formaggio, salmone affumicato, avocado, cipollotto, rucola, olio d'oliva, sale, pepe.",1,"Pizza con salmone affumicato e avocado, con una base di crema di formaggio."
14,Panino con Prosciutto e Formaggio,7,"Prosciutto cotto, formaggio (come mozzarella o emmental), lattuga, pomodoro, maionese, panino morbido.",1,"Un classico panino farcito con morbido prosciutto cotto e formaggio, arricchito con lattuga e pomodoro fresco per un tocco di freschezza."
14,Panino Vegetariano,6,"Hummus, lattuga, pomodoro, cetriolo, peperoni grigliati, avocado, panino integrale o morbido.",1,"Un panino sano e gustoso, con hummus cremoso, verdure fresche come cetriolo, peperoni e avocado, ideale per chi cerca un'opzione vegetale."
14,Panino con Salame e Rucola,7,"Salame, rucola, pomodoro, olio d'oliva, panino rustico o morbido",1,"Un panino saporito con il salame ricco di gusto, abbinato alla freschezza della rucola e al tocco aromatico del pomodoro."
14,Panino con Mortadella e Pistacchio,8,"Mortadella, crema di pistacchio, rucola, panino morbido.",1,"Un panino delicato con morbida mortadella e una cremosa salsa al pistacchio, arricchito da rucola per un contrasto fresco e aromatico."
14,Panino con Speck e Gorgonzola,8,"Speck, gorgonzola, rucola, noci, panino rustico o morbido.",1,"Un panino dal sapore deciso, con speck affumicato e il gorgonzola cremoso, arricchito da rucola e noci per una combinazione perfetta di sapori forti e freschi."
15,Kebab con Verdure,8,"carne di manzo o pollo, peperoni, cipolla, zucchine, pomodorini, pane pita, salsa yogurt, spezie (paprika, cumino, pepe).",1,"Spiedini di carne (manzo, pollo o agnello) con verdure grigliate come peperoni, zucchine e cipolle."
15,Kebab con Salsa Yogurt,9,"carne di manzo o pollo, pane pita, salsa yogurt (yogurt naturale, aglio, cetriolo, menta), spezie (cumino, paprika).",1,"Spiedini di carne accompagnati da una salsa a base di yogurt, aglio, limone e cetriolo."
15,Kebab con Pane Pita,7,"carne di manzo o pollo, pane pita, pomodori, lattuga, cipolla, salsa tzatziki, spezie (cumino, paprika, pepe).",1,Spiedini di carne serviti con pane pita caldo e verdure fresche.
15,Kebab alla Griglia,10,"carne di manzo o pollo, pane pita, verdure grigliate, salsa di yogurt, spezie (paprika, pepe, cumino).",1,"Spiedini di carne grigliati e serviti con contorni come riso, insalata o pane."
15,Kebab Piccante,8,"carne di manzo o pollo, pane pita, peperoncini, salsa piccante, pomodori, lattuga, cipolla, spezie (cumino, paprika, pepe).",1,Spiedini di carne marinata con spezie piccanti e grigliati per un sapore intenso.
16,Poke Bowl al Salmone,14,"riso per sushi, salmone crudo, avocado, cetriolo, carote, edamame, alghe wakame, salsa di soia, sesamo, salsa teriyaki.",1,"Bowl di riso con salmone crudo, avocado, cetrioli, edamame e salsa di soia."
16,Poke Bowl con Tonno,13,"riso per sushi, tonno crudo, avocado, cetriolo, carote, edamame, alghe wakame, salsa di soia, sesamo, salsa teriyaki.",1,"Bowl di riso con tonno crudo, avocado, cetrioli, edamame e salsa di soia."
16,Poke Bowl Vegetariano,12,"riso per sushi, avocado, cetriolo, carote, edamame, alghe wakame, tofu, salsa di soia, sesamo, salsa teriyaki.",1,"Bowl di riso con verdure fresche e tofu, condito con salsa di soia o tahini."
16,Poke con Quinoa e Avocado,12,"quinoa, avocado, cetriolo, carote, edamame, alghe wakame, salsa di soia, sesamo, salsa teriyaki.",1,"Bowl di riso con quinoa, avocado, cetrioli e verdure fresche."
16,Poke con Mango e Gamberetti,15,"riso per sushi, gamberetti, mango, avocado, cetriolo, carote, edamame, alghe wakame, salsa di soia, sesamo, salsa teriyaki.",1,"Bowl di riso con mango, gamberetti, avocado e una leggera salsa di soia."
17,Crostata ai Mirtilli,7,"pasta frolla, mirtilli freschi, zucchero, burro, farina, uova, lievito.",1,"Crostata con una base friabile e ripieno di mirtilli freschi, spesso servita con panna."
17,Cannoli Siciliani,6,"pasta per cannoli, ricotta, zucchero, canditi, gocce di cioccolato, pistacchi, olio per friggere.",1,"Dolci siciliani fritti ripieni di ricotta zuccherata e gocce di cioccolato, cosparsi di zucchero a velo."
17,Panna Cotta,5,"panna, zucchero, gelatina, vaniglia, frutti di bosco (per decorare).",1,"Dolce al cucchiaio a base di panna, zucchero e gelatina, spesso servito con frutti di bosco."
17,Tiramisù al Pistacchio,7,"savoiardi, mascarpone, panna, zucchero, uova, pistacchi, caffè, cacao in polvere.",1,"Dolce al cucchiaio con savoiardi imbevuti nel caffè, crema al mascarpone e pistacchio."
17,Cheesecake ai Frutti di Bosco,8,"biscotti digestive, burro, formaggio cremoso, zucchero, panna acida, frutti di bosco,",1,Cheesecake cremoso con una base di biscotti e frutti di bosco freschi sopra.
18,Pollo alla Griglia,10,"petto di pollo, olio d'oliva, limone, rosmarino, aglio, sale, pepe.",1,"Pollo cucinato sulla griglia, con un sapore affumicato e servito con contorni."
18,Pollo al Limone,9,"petto di pollo, limone, burro, aglio, prezzemolo, sale, pepe.",1,"Pollo cucinato con limone e aromi, per un piatto fresco e saporito."
18,Pollo Fritto,12,"petto di pollo, farina, uovo, pangrattato, olio per friggere, pepe, sale.",1,"Pollo impanato e fritto, croccante all'esterno e morbido all'interno."
18,Pollo alla Cacciatora,14,"pollo, cipolla, peperoni, pomodori, olive nere, vino rosso, rosmarino, aglio, olio d'oliva.",1,"Pollo cucinato con pomodoro, cipolla, olive e aromi, tipico della cucina mediterranea."
18,Pollo al Curry,13,"pollo, cipolla, curry in polvere, latte di cocco, riso basmati, aglio, zenzero, olio d'oliva.",1,"Pollo cucinato con curry e latte di cocco, servito con riso aromatico."
19,Piadina con Prosciutto e Formaggio,6,"piadina, prosciutto crudo, formaggio (mozzarella, emmental), rucola.",1,"Piadina farcita con prosciutto cotto e formaggio, cotta fino a doratura."
19,Piadina Vegetariana,7,"piadina, formaggio (mozzarella, ricotta), zucchine, melanzane, peperoni, rucola",1,"Piadina farcita con verdure grigliate o fresche, per un piatto vegetariano."
19,Piadina con Salame e Rucola,6,"piadina, salame, rucola, formaggio (mozzarella, emmental).",1,"Piadina farcita con salame piccante e rucola, per un contrasto di sapori freschi e decisi."
19,Piadina con Mortadella e Pistacchio,10,"piadina, mortadella, crema di pistacchio, rucola.",1,"Piadina farcita con mortadella e pistacchio, per un sapore ricco e aromatico."
19,Piadina con Speck e Gorgonzola,8,"piadina, speck, gorgonzola, noci, rucola.",1,"Piadina farcita con speck e gorgonzola, un'accoppiata di sapori forti e decisi."
20,Churrasco,12,"carne di manzo o maiale, spezie (paprika, pepe, cumino), olio d'oliva, aglio, sale.",1,"Carne di manzo o maiale grigliata, tipica del Brasile, servita con riso, fagioli e verdure."
20,Feijoada,11,"fagioli neri, carne di maiale (costine, salsicce), carne di manzo, cipolla, aglio, pomodori, alloro, pepe, riso.",1,"Piatti tradizionali brasiliani con fagioli neri, carne di maiale e riso."
20,Pão de Queijo,8,"farina di manioca, formaggio grattugiato, uova, latte, burro, sale.",1,"Piccole palline di formaggio fritte, tipiche della cucina brasiliana."
20,Coxinha de Frango,10,"pollo, farina di frumento, burro, formaggio cremoso, cipolla, aglio, olio per friggere, sale, pepe.",1,"Polpette fritte ripiene di pollo, tipiche della cucina brasiliana."
20,Moqueca di Pesce,9,"pesce bianco (merluzzo, branzino), latte di cocco, peperoni, cipolla, pomodoro, coriandolo, olio di palma, aglio.",1,"Zuppa di pesce tradizionale brasiliana con pomodoro, peperoni e latte di cocco."
21,Pizza Senza Glutine,7,"farina senza glutine, lievito, acqua, olio d'oliva, salsa di pomodoro, mozzarella, basilico.",1,"Pizza senza glutine, con una base alternativa a quella tradizionale."
21,Pasta Senza Glutine,11,"pasta senza glutine, olio d'oliva, pomodori, basilico, aglio, sale, pepe.",1,"Pasta senza glutine, preparata con farine alternative."
21,Pane Senza Glutine,9,"arina senza glutine, lievito, acqua, sale, olio d'oliva, zucchero.",1,"Pane senza glutine, adatto a chi segue una dieta priva di glutine."
21,Risotto con Funghi,6,"riso per risotto, funghi porcini, brodo vegetale, cipolla, vino bianco, burro, parmigiano, prezzemolo.",1,"Risotto preparato con funghi freschi o secchi, dal sapore ricco e cremoso."
21,Nicoise,8,"lattuga, rucola, spinaci, pomodorini, cipolla rossa, avocado, olio d'oliva, aceto balsamico, sale, pepe.",1,"Insalata mista di verdure fresche, condita con olio d'oliva e limone, adatta anche a chi segue una dieta senza glutine."
22,Margherita Pizza,8,"Pomodoro, mozzarella, basilico",1,"Un classico piatto di pizza con salsa di pomodoro, mozzarella fusa e basilico fresco."
22,Double Cheeseburger,12,"Carne di manzo, formaggio cheddar, pane per hamburger, lattuga, pomodoro, cipolla",1,"Un panino con due fette di carne di manzo, formaggio cheddar fuso, lattuga, pomodoro e maionese."
22,Veggie Burger,6,"Burger vegetale (ad esempio, a base di soia o ceci), pane per hamburger, lattuga, pomodoro, cipolla",1,"Un panino vegetariano con hamburger di verdure, lattuga, pomodoro e condimenti leggeri."
22,Classic Hot Dog,4,"Salsiccia, pane per hot dog, ketchup, senape",1,"Un panino con una salsiccia arrostita servita su un panino morbido, completato con cipolle caramellate."
22,Fried Chicken Burger,10,"Petto di pollo impanato e fritto, pane per hamburger, lattuga, pomodoro, maionese",1,"Un panino con pollo fritto croccante, lattuga e maionese."
23,Panzanella con Verdure,10,"Pane raffermo, pomodorini, cetriolo, cipolla rossa, basilico, aceto, olio d'oliva",1,"Un'insalata con pane raffermo, pomodori, cetrioli, cipolla rossa, basilico e olio d'oliva."
23,Tofu Scramble,11,"Tofu, curcuma, peperoni, cipolla, spinaci, olio d'oliva",1,"Tofu soffritto con spezie, verdure e servito con pane o riso."
23,Zuppa di Lenticchie,8,"Lenticchie, cipolla, carota, sedano, pomodoro, aglio, brodo vegetale",1,"Una zuppa densa a base di lenticchie, pomodoro, cipolla e spezie."
23,Wrap Vegano con Hummus,9,"Pane tipo pita o tortilla, hummus, lattuga, pomodori, cetriolo, carote",1,"Un wrap con hummus, verdure fresche e salse leggere."
23,Burger di Ceci,6,"Ceci, cipolla, aglio, spezie, pane per hamburger, lattuga, pomodoro",1,"Un panino con un hamburger di ceci, lattuga, pomodoro e maionese."
24,Involtini Primavera,9,"Cavolo cinese, germogli di soia, carote, funghi, aglio, zenzero, salsa di soia",1,"Piccole sfoglie di riso fritte e ripiene di verdure o carne, servite con una salsa leggera."
24,Manzo alla Pechinese,12,"Manzo, salsa di soia, aglio, zenzero, cipolla, peperoni, funghi",1,"Manzo cotto con salsa agrodolce e speziata, servito con verdure croccanti e riso."
24,Gyoza al Vapore,10,"Carne di maiale o pollo, cavolo, zenzero, salsa di soia, aglio",1,"Gyoza al vapore con ripieno di carne o verdure, serviti con salsa di soia."
24,Riso al Curry Verde,8,"Riso, curry verde, latte di cocco, peperoni, zucchine, aglio, cipolla",1,"Riso basmati cotto con curry verde e verdure fresche, perfetto come accompagnamento."
24,Zuppa di Noodles,11,"Noodles, brodo di pollo, funghi, cipolla, aglio, salsa di soia",1,"Una zuppa calda a base di brodo, noodles e verdure, con aggiunta di carne o tofu."
25,Samosa,12,"Patate, piselli, spezie, salsa di tamarindo, olio di oliva",1,"Triangoli di pasta ripieni di patate, piselli e spezie, fritti fino a diventare croccanti."
25,Pulao di Riso,12,"Riso, spezie (cumino, cardamomo, chiodi di garofano), cipolla, piselli, pepe nero",1,"Riso aromatizzato con spezie, servito con carne, pollo o verdure."
25,Chicken Korma,9,"Pollo, curry in polvere, yogurt, cipolla, aglio, zenzero, pomodori",1,"Un curry ricco e speziato con pollo, arricchito con latte di cocco e accompagnato da riso basmati."
25,Quesadillas,10,"Tortilla di mais, formaggio, pollo, cipolla, peperoni, salsa",1,"Una tortilla ripiena di formaggio fuso, carne o verdure, servita con salse fresche."
25,Fajitas di Pollo,11,"Pollo, peperoni, cipolla, salsa, tortilla di farina",1,"Carne di pollo servita con verdure, cipolla e salsa speziata, avvolta in una tortilla."
26,Maki Roll,14,"Riso, alga nori, aceto di riso, pesce crudo, avocado, cetriolo",1,"Un rotolo di riso nori con ripieno di riso, pesce e verdure, avvolto in alga."
26,Nigiri al Tonno,12,"Tonno, riso, aceto di riso, salsa di soia, wasabi",1,"Fette di tonno fresco servite sopra una pallina di riso, completate con salsa di soia."
26,Gamberetti Tempura,10,"Gamberetti, pastella per tempura (farina, acqua ghiacciata, uovo), olio per friggere",1,"Gamberetti impanati e fritti fino a diventare croccanti, serviti con una salsa leggera."
26,Donburi di Pollo,12,"Pollo, riso, salsa di soia, mirin, cipolla, verdure miste (come carote, spinaci)",1,"Riso bianco o integrale con pollo marinato, verdure e spezie giapponesi."
26,Poke Bowl con Avocado,14,"Riso, salmone crudo, avocado, cetriolo, edamame, alga nori, salsa di soia",1,"Un bowl con avocado fresco, riso, verdure e una selezione di condimenti e spezie."
27,Focaccia con Prosciutto Crudo,12,"Focaccia, prosciutto crudo, olio d’oliva, rucola",1,"Focaccia, Prosciutto crudo, Olio extravergine d'oliva, Rucola"
27,Panino con Pollo e Verdure,8,"Pane per panino, pollo grigliato, lattuga, pomodoro, cipolla, maionese",1,"Pane per panino, Petto di pollo, Zucchine grigliate, Peperoni grigliati, Lattuga, Maionese o salsa yogurt"
27,Focaccia con Mozzarella e Pomodoro,10,"Focaccia, mozzarella, pomodoro, basilico, olio d’oliva",1,"Focaccia, Mozzarella fresca, Pomodori, Basilico fresco, Olio extravergine d'oliva, Sale"
27,Panino Caprese,12,"Pane per panino, mozzarella di bufala, pomodoro, basilico, olio d’oliva",1,"Pane per panino, Mozzarella, Pomodoro, Basilico, Olio extravergine d'oliva, Origano"
27,Focaccia con Salame Piccante,10,"Focaccia, salame piccante, peperoncino, cipolla, olio d’oliva",1,"Focaccia, Salame piccante, Mozzarella, Origano"
28,Kebab con Hummus,12,"Carne di kebab (agnello o pollo), hummus, pane pita, verdure (pomodoro, lattuga, cipolla)",1,"Pane pita, Hummus, Carne di kebab, Lattuga, Pomodori, Cipolla, Salsa allo yogurt o tahina"
28,Pollo al Curry,8,"Pollo, cipolla, curry in polvere, latte di cocco, riso",1,"Petto di pollo, Latte di cocco, Curry in polvere, Zenzero fresco, Aglio, Cipolla, Olio, Riso basmati"
28,Pita con Verdure Grigliate,10,"Pita, verdure grigliate (melanzane, zucchine, peperoni), salsa tzatziki",1,"Pita, Melanzane grigliate, Zucchine grigliate, Peperoni grigliati, Lattuga, Salsa tahina o hummus"
28,Falafel con Salsa Yogurt,9,"Falafel (ceci, cipolla, aglio, spezie), salsa yogurt",1,"Ceci lessati, Prezzemolo, Aglio, Cipolla, Cumino, Coriandolo, Farina di ceci, Olio per friggere, Salsa yogurt, Limone"
